METADATA,,,
locale.network.en,Network,,
locale.cc_ic.en,Country Code and Identification Code,,
locale.status.en,Status,,
locale.network.fr,Réseau,,
locale.cc_ic.fr,Indicatif de pays et Code d'identification,,
locale.status.fr,Situation,,
locale.network.es,Red,,
locale.cc_ic.es,Indicativo de país y Código de Identificación,,
locale.status.es,Situación,,
locale.network.ru,Сеть ,,
locale.cc_ic.ru,Код страны и код идентификации ,,
locale.status.ru,Состояние ,,
locale.network.zh,网络,,
locale.cc_ic.zh,国家代码和识别码,,
locale.status.zh,状态,,
locale.network.ar,الشبكة,,
locale.cc_ic.ar,"الرمز الدليلي للبلد
ورمز تعرف الهوية
",,
locale.status.ar,الوضع,,
,,,
DATA,type=array,,
network,cc_ic,status,formerly
Iridium Communications Inc.,+881 6,Assigned,
Iridium Communications Inc.,+881 7,Assigned,
Globalstar,+881 8,Assigned,
Globalstar,+881 9,Assigned,