METADATA,,,,
locale.applicant.en,Applicant,,,
locale.network.en,Network,,,
locale.cc_ic.en,Country Code and Identification Code,,,
locale.status.en,Status,,,
locale.applicant.fr,Requérant,,,
locale.network.fr,Réseau,,,
locale.cc_ic.fr,Indicatif de pays et Code d'identification,,,
locale.status.fr,Situation,,,
locale.applicant.es,Solicitante,,,
locale.network.es,Red,,,
locale.cc_ic.es,Indicativo de país y Código de Identificación,,,
locale.status.es,Situación,,,
locale.applicant.ru,Заявитель ,,,
locale.network.ru,Сеть ,,,
locale.cc_ic.ru,Код страны и код идентификации ,,,
locale.status.ru,Состояние ,,,
locale.applicant.zh,申请人,,,
locale.network.zh,网络,,,
locale.cc_ic.zh,国家代码和识别码,,,
locale.status.zh,状态,,,
locale.applicant.ar,مقدم الطلب,,,
locale.network.ar,الشبكة,,,
locale.cc_ic.ar,"الرمز الدليلي للبلد
ورمز تعرف الهوية
",,,
locale.status.ar,الوضع,,,
,,,,
,,,,
DATA,,,,
applicant,network,cc_ic,status,formerly
British Telecommunications plc,Global Office Application,+882 10,Assigned,
MCI (Verizon),HyperStream International (HSI) Data Network,+882 12,Assigned,
Telespazio S.p.A.,EMS Regional Mobile Satellite System,+882 13,Assigned,
Telstra,Global international ATM Network,+882 15,Assigned,REACH
Thuraya,Thuraya RMSS Network,+882 16,Assigned,
Cable & Wireless plc,Cable & Wireless Global Network,+882 22,Assigned,
Sita-Equant Joint Venture,Sita-Equant Network,+882 23,Assigned,
Deutsche Telekom AG,Deutsche Telekom's Next Generation Network,+882 28,Assigned,
Telekom Malaysia,Global International ATM Network,+882 31,Assigned,
Telenor for Maritime Communications Partner (MCP) A.S.,MCP network,+882 32,Assigned,
Oration Technologies Inc.,Oration Technologies Network,+882 33,Assigned,
BebbiCell AG,BebbiCell AG,+882 34,Assigned,Global Networks Switzerland AG
Jasper Technologies Inc.,Jasper Systems,+882 35,Assigned,"Jasper Wireless, Inc"
Jersey Telecom,Jersey Telecom,+882 36,Assigned,
AT&T,Cingular Wireless network,+882 37,Assigned,
Vodafone Malta (Vodafone Group),Vodafone Malta,+882 39,Assigned,
Intermatica,Intermatica,+882 41,Assigned,
Telecom Italia,Telecom Italia,+882 45,Assigned,
Tyntec Limited,Tyntec Limited,+882 46,Assigned,
TRANSATEL,Transatel,+882 47,Assigned,
Sawatch Limited,EchoStar Mobile Limited,+882 48,Assigned,
"Smart Communications, Inc",Smart Communications Inc,+882 97,Assigned,
OnAir N.V.,Onair GSM services,+882 98,Assigned,SITA on behalf of Onair
AeroMobile AS,AeroMobile AS,+882 99,Assigned,