METADATA,,
locale.shared_mcc.en,Shared Mobile Country Codes (MCC) for networks and their respective Mobile Network Codes (MNC),
locale.networks.en,Networks,
locale.mcc_mnc_codes.en,MCC + MNC codes,
locale.former_name.en,Formerly,
locale.shared_mcc.fr,Indicatifs de pays du mobile (MCC) partagés pour réseaux et codes de réseau du mobile (MNC) qui leur sont associés,
locale.networks.fr,Réseaux,
locale.mcc_mnc_codes.fr,Codes MCC + MNC,
locale.former_name.fr,Formerly,
locale.shared_mcc.es,MCC compartidos de redes y sus respectivos indicativos de red para el servicio móvil (MNC),
locale.networks.es,Redes,
locale.mcc_mnc_codes.es,Indicativos MCC + MNC,
locale.former_name.es,Formerly,
locale.shared_mcc.ru,Общие коды страны в системе подвижной связи (MCC) для сетей и их соответствующие коды сетей подвижной связи (MNC),
locale.networks.ru,Сети,
locale.mcc_mnc_codes.ru,Коды MCC + MNC*,
locale.former_name.ru,ранее ,
locale.shared_mcc.zh,网络共用移动国家代码（MCC）及其各自移动网络代码（MNC）,
locale.networks.zh,网络,
locale.mcc_mnc_codes.zh,MCC + MNC代码,
locale.former_name.zh,Formerly,
locale.shared_mcc.ar,الرموز الدليلية القُطرية للاتصالات المتنقلة (MCC) المشتركة فيما يتعلق بالشبكات والرموز الدليلية للشبكات المتنقلة (MNC) الخاصة بها,
locale.networks.ar,الشبكات,
locale.mcc_mnc_codes.ar,الشبكات,
locale.former_name.ar,Formerly,
,,
,,
DATA,,
mcc_mnc_codes,networks,former_name
901 03,Iridium Communications Inc,
901 05,Thuraya RMSS Network,
901 06,Thuraya Satellite Telecommunications Company,
901 11,Inmarsat Ltd.,
901 12,Maritime Communications Partner AS (MCP network),
901 13,BebbiCell AG,Global Networks Switzerland AG
901 14,AeroMobile AS,
901 15,OnAir N.V.,SITA on behalf of Onair
901 16,"Cisco Systems, Inc.",
901 17,Jersey Telecom,
901 18,Cingular Wireless,
901 19,Vodafone Malta (Vodafone Group),
901 20,Intermatica,
901 21,Wins Limited,Seanet Maritime Communications AB
901 22,MediaLincc Ltd,
901 24,Voxbone SA,
901 26,Telecom Italia,
901 27,Monaco Telecom,
901 28,Vodafone Group,
901 29,Telenor Connexion AB,
901 31,Orange,
901 32,MegaFon,
901 33,"Smart Communications , Inc",
901 34,Tyntec Limited,
901 35,Globecomm Network Services,
901 36,Azerfon LLC,
901 37,TRANSATEL,
901 38,Multiregional TransitTelecom (MTT),
901 39,MTX Connect Ltd,
901 40,Deutsche Telekom AG,
901 41,BodyTrace Netherlands B.V.,
901 42,DCN Hub ehf,
901 43,EMnify GmbH,
901 44,"AT&T, Inc.",
901 45,Advanced Wireless Network Company Limited,
901 46,Telecom26 AG,
901 47,Ooredoo,
901 48,Com4 Sweden AB,
901 49,Zain Kuwait,
901 50,Sawatch Limited/EchoStar Mobile Limited,
901 51,VisionNG,
901 52,Manx Telecom Trading Ltd.,
901 53,Deutsche Telekom AG,
901 54,Teleena Holding B.V.,
901 55,Beezz Communication Solutions Ltd.,
901 56,European Telecommunications Standards Institute (ETSI),
901 57,SAP,
901 58,BICS SA,
901 59,MessageBird B.V.,
901 60,OneWeb,
901 61,MTN Management Services,
901 62,Twilio Inc.,
901 63,GloTell B.V.,
901 64,"Syniverse Technologies, LLC",
901 88,UN Office for the Coordination of Humanitarian Affairs (OCHA),