METADATA,,,,,
MEXICO,MÉXICO,MEXIQUE,334 8,INTERVAN,
MEXICO,MÉXICO,MEXIQUE,334 9,INTELCOMNET,
MEXICO,MÉXICO,MEXIQUE,335 0,"AVANTEL, S.A.",
MEXICO,MÉXICO,MEXIQUE,335 1,"ALESTRA, S. DE R.L. DE C.V.",
MICRONESIA,MICRONESIA,MICRONÉSIE,550 1,FSMTC Packet Switched Network,
MOROCCO,MARRUECOS,MAROC,604 1,MAGHRIPAC,
MOROCCO,MARRUECOS,MAROC,604 2,MAGHRIPAC X.32,
MOROCCO,MARRUECOS,MAROC,604 9,MAGHRIPAC RTC PAD,
MOZAMBIQUE,MOZAMBIQUE,MOZAMBIQUE,643 5,COMPAC (Packet Switching Public Data Network),
MYANMAR,MYANMAR,Myanmar,414 1,MYANMARP,
NAMIBIA,NAMIBIA,NAMIBIE,649 0,SWANET (Public Packet Switched Network),
NEPAL,NEPAL,NÉPAL,429 0,NEPPAK (Nepal Packet Switched Public Data Network),
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,204 1,Datanet 1 X.25 access,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,204 4,Unisource/Unidata,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,204 6,Unisource/VPNS,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,205 2,NV CasTel,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,205 3,Global One Communications BV,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,205 5,Rabofacet BV,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,205 7,Trionet v.o.f.,
NEW CALEDONIA,NUEVA CALEDONIA,NOUVELLE-CALÉDONIE,546 0,Transpac – Nouvelle Calédonie et opérateur public local,
NEW ZEALAND,NUEVA ZELANDIA,NOUVELLE-ZÉLANDE,530 1,PACNET Packet Switching Network,
NICARAGUA,NICARAGUA,NICARAGUA,710 0,NicaPac,
NORWAY,NORUEGA,NORVÈGE,242 1,"DATEX (Circuit Switched Network, CSDN)",
NORWAY,NORUEGA,NORVÈGE,242 2,"DATAPAK (Packet Switched Network, PSDN)",
NORWAY,NORUEGA,NORVÈGE,242 9,"Shared by private data networks, for PNIC allocation",
PAKISTAN,PAKISTÁN,PAKISTAN,410 1,TRANSLINK,
PANAMA,PANAMÁ,PANAMA,714 1,Red de transmisión de datos con conmutación de paquetes (INTELPAQ),
PANAMA,PANAMÁ,PANAMA,714 4,CWP DATA NETWORK,
PARAGUAY,PARAGUAY,PARAGUAY,744 0,PARABAN,
PARAGUAY,PARAGUAY,PARAGUAY,744 7,ANTELPAC,
PARAGUAY,PARAGUAY,PARAGUAY,744 8,PARAPAQ,
PERU,PERÚ,PÉROU,716 0,MEGANET (PERUNET),
PERU,PERÚ,PÉROU,716 1,MEGANET,
PHILIPPINES,FILIPINAS,PHILIPPINES,515 1,"CWI DATANET – Capitol Wireless, Inc. (CAPWIRE)",
PHILIPPINES,FILIPINAS,PHILIPPINES,515 2,"Philippine Global Communications, Inc. (PHILCOM)",
PHILIPPINES,FILIPINAS,PHILIPPINES,515 4,Globe-Mackay Cable and Radio Corp. (GMCR),
PHILIPPINES,FILIPINAS,PHILIPPINES,515 6,"Eastern Telecommunications Philippines, Inc. (ETPI)",
PHILIPPINES,FILIPINAS,PHILIPPINES,515 7,DATAPAC,
POLAND,POLONIA,POLOGNE,260 1,POLPAK,
POLAND,POLONIA,POLOGNE,260 3,EXATEL,
POLAND,POLONIA,POLOGNE,260 4,POLPAK-T,
POLAND,POLONIA,POLOGNE,260 621,DATACOM,
POLAND,POLONIA,POLOGNE,260 622,MNI,
POLAND,POLONIA,POLOGNE,260 6301,INTERNET GROUP,
POLAND,POLONIA,POLOGNE,260 6303,INTERNET TECHNOLOGIES,
POLAND,POLONIA,POLOGNE,260 6304,INTERTELE,
POLAND,POLONIA,POLOGNE,260 641,PAGI,
POLAND,POLONIA,POLOGNE,260 642,CROWLEY DATA POLAND,
POLAND,POLONIA,POLOGNE,260 651,MEDIATEL,
POLAND,POLONIA,POLOGNE,260 661,KOLPAK,
POLAND,POLONIA,POLOGNE,260 662,ENERGIS POLSKA,
POLAND,POLONIA,POLOGNE,260 672,VPN SERVICE,
POLAND,POLONIA,POLOGNE,260 681,EXATEL,
POLAND,POLONIA,POLOGNE,260 691,NETIA,
POLAND,POLONIA,POLOGNE,260 7,CUPAK,
PORTUGAL,PORTUGAL,PORTUGAL,268 0,PrimeNet,
PORTUGAL,PORTUGAL,PORTUGAL,268 1,"OniSolutions -Infocomunicações, S.A.",
PORTUGAL,PORTUGAL,PORTUGAL,268 2,CPRM-Marconi,
PORTUGAL,PORTUGAL,PORTUGAL,268 3,"Eastécnica, Electrónica e Técnica, S.A.",
PORTUGAL,PORTUGAL,PORTUGAL,268 4,PrimeNet,
PORTUGAL,PORTUGAL,PORTUGAL,268 5,"Global One – Comunicações, S.A.",
PORTUGAL,PORTUGAL,PORTUGAL,268 6,"HLC, Telecomunicações & Multimédia, S.A.",
PORTUGAL,PORTUGAL,PORTUGAL,268 7,"Jazztel Portugal – Serviços de Telecomunicações, S.A.",
PUERTO RICO,PUERTO RICO,PUERTO RICO,330 2,ATM Broadband Network,
PUERTO RICO,PUERTO RICO,PUERTO RICO,330 3,TDNet Puerto Rico,
QATAR,QATAR,QATAR,427 1,DOHPAK,
ROMANIA,RUMANIA,ROUMANIE,226 0,ROMPAC,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 0,Rospac-RT,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 1,SPRINT Networks,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 2,IASNET,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 3,MMTEL,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 4,INFOTEL,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 6,ROSNET,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 7,ISTOK-K,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 8,TRANSINFORM,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,250 9,LENFINCOM,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,251 0,SOVAMNET,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,251 1,EDITRANS,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,251 2,TECOS,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,251 3,PTTNET,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,251 4,BCLNET,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,251 5,SPTNET,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,251 6,AS Sirena-3 Data Communication System,
RUSSIAN FEDERATION,FEDERACIÓN DE RUSIA,FÉDÉRATION DE RUSSIE,251 7,TELSYCOM,
SAN MARINO,SAN MARINO,SAINT-MARIN,292 2,X-Net SMR,
SAUDI ARABIA,ARABIA SAUDITA,ARABIE SAOUDITE,420 1,ALWASEET – Public Packet Switched Data Network,
SENEGAL,SENEGAL,SÉNÉGAL,608 1,SENPAC,
SERBIA,SERBIA,SERBIE,220 1,YUPAC (Yugoslav Packet Switched Public Data Network),
SEYCHELLES,SEYCHELLES,SEYCHELLES,633 1,Infolink,
SINGAPORE,SINGAPUR,SINGAPOUR,525 0,International telephone prefix,
SINGAPORE,SINGAPUR,SINGAPOUR,525 1,Inmarsat service,
SINGAPORE,SINGAPUR,SINGAPOUR,525 2,TELEPAC (Public Packet Switching Data Network),
SINGAPORE,SINGAPUR,SINGAPOUR,525 3,High speed data/long packet service,
SINGAPORE,SINGAPUR,SINGAPOUR,525 4,Public Data Network,
SINGAPORE,SINGAPUR,SINGAPOUR,525 5,Public Data Network,
SINGAPORE,SINGAPUR,SINGAPOUR,525 8,Telex,
SINGAPORE,SINGAPUR,SINGAPOUR,525 7,ISDN packet switching service,
SINGAPORE,SINGAPUR,SINGAPOUR,525 9,PSTN access (dial-in/out),
SLOVAKIA,ESLOVAQUIA,SLOVAQUIE,231 1,EuroTel,
SLOVENIA,ESLOVENIA,SLOVÉNIE,293 1,SIPAX.25,
SOLOMON ISLANDS,SALOMÓN (ISLAS),SALOMON (ILES),540 0,DATANET,
SOUTH AFRICA,SUDAFRICANA (REP.),SUDAFRICAINE (RÉP.),655 0,Saponet – P,
SPAIN,ESPAÑA,ESPAGNE,214 0,Administración Pública,
SPAIN,ESPAÑA,ESPAGNE,214 1,Nodo internacional de datos,
SPAIN,ESPAÑA,ESPAGNE,214 2,RETEVISIÓN,
SPAIN,ESPAÑA,ESPAGNE,214 5,Red IBERPAC,
SPAIN,ESPAÑA,ESPAGNE,214 7,France Telecom Redes y Servicios,
SPAIN,ESPAÑA,ESPAGNE,214 9,MegaRed,
SRI LANKA,SRI LANKA,SRI LANKA,413 2,Lanka Communication Services (Pvt) Limited,
SRI LANKA,SRI LANKA,SRI LANKA,413 3,Electroteks (Pvt) Limited,
SRI LANKA,SRI LANKA,SRI LANKA,413 62,MTT Network (Pvt) Limited,
SRI LANKA,SRI LANKA,SRI LANKA,413 63,DPMC Electronics (Pvt) Limited,
SWEDEN,SUECIA,SUÈDE,240 2,WM-data Infrastructur,
SWEDEN,SUECIA,SUÈDE,240 3,Datapak (Packet Switched Public Data Network) – TeliaSonera AB,
SWEDEN,SUECIA,SUÈDE,240 6,Flex25 (Public Packet Switched Data Network),
SWEDEN,SUECIA,SUÈDE,240 7,Private X.25 Networks (DNIC allocated for a group of private networks) –    TeliaSonera AB,
SWITZERLAND,SUIZA,SUISSE,228 0,ISDNPac,
SWITZERLAND,SUIZA,SUISSE,228 2,Transpac-CH,
SWITZERLAND,SUIZA,SUISSE,228 3,Bebbicel,
SWITZERLAND,SUIZA,SUISSE,228 4,Telepac,
SWITZERLAND,SUIZA,SUISSE,228 5,Telepac (accès de réseaux privés),
SWITZERLAND,SUIZA,SUISSE,228 6,DataRail,
SWITZERLAND,SUIZA,SUISSE,228 7,Spack,
THAILAND,TAILANDIA,THAÏLANDE,520 2,THAIPAK 2 – Value Added Public Packet Switched Data Network,
THAILAND,TAILANDIA,THAÏLANDE,520 3,CAT Store and Forward Fax Network,
THAILAND,TAILANDIA,THAÏLANDE,520 9,TOT ISDN,
THE FORMER YUGOSLAV REP. OF MACEDONIA,LA EX REP. YUGOSLAVA DE MACEDONIA,L'EX-RÉP. YOUGOSLAVE DE MACÉDOINE,294 0,MAKPAK,
TONGA,TONGA,TONGA,539 0,TONGAPAK,
TRINIDAD AND TOBAGO,TRINIDAD Y TABAGO,TRINITÉ-ET-TOBAGO,374 0,TEXDAT,
TRINIDAD AND TOBAGO,TRINIDAD Y TABAGO,TRINITÉ-ET-TOBAGO,374 5,DATANETT,
TURKEY,TURQUÍA,TURQUIE,286 0,TELETEX,
TURKEY,TURQUÍA,TURQUIE,286 1,DATEX-L,
TURKEY,TURQUÍA,TURQUIE,286 3,Turkish Packet Switched Data Network (TURPAK),
TURKEY,TURQUÍA,TURQUIE,286 4,TURPAK,
TURKS AND CAICOS ISLANDS ,TURQUESAS Y CAICOS (ISLAS),TURKS ET CAICOS (ILES),376 3,Cable and Wireless Packet Switched Node,
TURKS AND CAICOS ISLANDS ,TURQUESAS Y CAICOS (ISLAS),TURKS ET CAICOS (ILES),376 4,IslandCom,
UKRAINE,UCRANIA,UKRAINE,255 0,UkrPack,
UKRAINE,UCRANIA,UKRAINE,255 1,bkcNET,
UKRAINE,UCRANIA,UKRAINE,255 5,GTNET,
UKRAINE,UCRANIA,UKRAINE,255 6,UkrPack,
UNITED ARAB EMIRATES,EMIRATOS ÁRABES UNIDOS,ÉMIRATS ARABES UNIS,424 1,EMDAN Teletex Network,
UNITED ARAB EMIRATES,EMIRATOS ÁRABES UNIDOS,ÉMIRATS ARABES UNIS,424 3,EMDAN X.25 and X.28 Terminals,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,234 0,BT,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,234 1,International Packet Switching Service (IPSS),
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,234 2,Packet Switched Service (PSS),
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,234 3,BT Concert Packet Network,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,234 4,BT Concert Packet Network,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,234 7,BT,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,234 8,BT,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,234 9,Barclays Technology Services,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 0,"C&W X.25 Service, International Packet Gateway","use internally, see OB 879"
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 1,C & W X.25 Service,"use internally, see OB 879"
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 2,Kingston Communications (Hull) PLC.,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 3,"Vodaphone, Packet Network Service",
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 4,Nomura Computer Systems Europe Ltd. (NCC-E),
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 5,JAIS Europe Ltd.,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 7,FEDEX UK,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 8,Reuters,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,235 9,BT,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,236 0,AT&T ISTEL,
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,237 0,GlobalOne (France Telecom),
UNITED KINGDOM,REINO UNIDO,ROYAUME-UNI,237 8,Racal Telecom,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 1,PTN-1 Western Union Packet Switching Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 2,MCI Public Data Network (ResponseNet),
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 3,ITT UDTS Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 4,MCI Public Data Network (International Gateway),
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 5,WUI Leased Channel Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 6,Tymnet Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 7,ITT Datel Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 8,ITT Short Term Voice/Data Transmission Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,310 9,RCAG DATEL II,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 0,Telenet Communications Corporation,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 1,RCAG DATEL I (Switched Alternate Voice-Data Service),
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 2,Western Union Teletex Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 3,RCAG Remote Global Computer Access Service (Low Speed),
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 4,Western Union Infomaster,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 5,Graphnet Interactive Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 6,Graphnet Store and Forward Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 7,WUI Telex Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 8,Graphnet Data Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,311 9,TRT Packet Switching Network (IPSS),
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 0,ITT Low Speed Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 1,FTCC Circuit Switched Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 2,FTCC Telex,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 3,FTCC Domestic Packet Switched Transmission (PST) Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 4,FTCC International PST Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 5,UNINET,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 6,ADP Autonet,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 7,GTE Telenet Communications Corporation,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 8,TRT Mail/Telex Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,312 9,TRT Circuit Switch Data (ICSS),
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 0,TRT Digital Data Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 1,RCAG Telex Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 2,Compuserve Network Services,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 3,RCAG XNET Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 4,AT+T/ACCUNET Packet Switched Capability,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 5,ALASCOM/ALASKANET Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 6,Geisco Data Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 7,International Information Network Services – INFONET Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 8,Fedex International Transmission Corporation – International Document    Transmission Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,313 9,"KDD America, Inc. – Public Data Network",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 0,Southern New England Telephone Company – Public Packet Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 1,Bell Atlantic Telephone Companies – Advance Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 2,Bellsouth Corporation – Pulselink Servie,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 3,Ameritech Operating Companies – Public Packet Data Networks,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 4,Nynex Telephone Companies – Nyex Infopath Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 5,Pacific Telesis Public Packet Switching Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 6,Southwestern Bell Telephone Co. – Microlink II Public Packet Switching Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 7,"U.S. West, Inc. – Public Packet Switching Service",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 8,United States Telephone Association – to be shared by local exchange telephone    companies,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,314 9,"Cable & Wireless Communications, Inc. – Public Network",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 0,"Globenet, Inc. – Globenet Network Packet Switching Service",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 1,"Cable & Wireless Communications, Inc. – Public Network",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 2,"GTE Hawaiian Telephone Company, Inc. – Public Data Network",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 3,JAIS USA-NET Public Packet Switching Service,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 4,"Nomura Computer Systems America, Inc. – NCC-A VAN public packet switching    service",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 5,"Aeronautical Radio, Inc. – GLOBALINK",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 6,"American Airlines, Inc. – AANET",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 7,COMSAT Mobile Communications – C-LINK,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 8,Schlumberger Information Network (SINET),
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,315 9,Westinghouse Communications – Westinghouse Packet Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,316 0,"Network Users Group, Ltd. – WDI NET packet",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,316 1,"United States Department of State, Diplomatic Telecommunications Service",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,,Black Packet Switched Data Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,316 2,"Transaction Network Services, Inc. – TNS Public Packet-switched Network",
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,316 6,U.S. Department of Treasury Wide Area Data Network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,316 8,BT North America packet-switched data network,
UNITED STATES,ESTADOS UNIDOS,ÉTATS-UNIS,316 9,Tenzing Communications Inc. – Inflight Network,
URUGUAY,URUGUAY,URUGUAY,748 2,URUPAC – Servicio público de transmisión de datos con conmutación de    paquetes,
URUGUAY,URUGUAY,URUGUAY,748 8,URUPAC – Interfuncionamiento con la red télex,
URUGUAY,URUGUAY,URUGUAY,748 9,URUPAC – Interfuncionamiento con la red telefónica,
UZBEKISTAN,UZBEKISTÁN,OUZBÉKISTAN,434 1,UzPAK,
VANUATU,VANUATU,VANUATU,541 0,VIAPAC (Vanuatu International Access for Packets),
VATICAN,VATICANO,VATICAN,225 0,Packet Switching Data Network (PSDN) of Vatican City State,
ZAMBIA,ZAMBIA,ZAMBIE,645 1,ZAMPAK,
ZIMBABWE ,ZIMBABWE,ZIMBABWE,648 4,ZIMNET,